title,link
SVAMITVA Scheme helps in making rural India self-reliant: PM Modi,https://www.narendramodi.in/text-of-pm-s-address-at-the-launch-of-physical-distribution-of-property-cards-under-the-svamitva-scheme
Prime Minister’s key note address at Invest India Confernce in Canada,https://www.narendramodi.in/prime-minister-narendra-modis-key-note-address-at-invest-india-confernce-in-canada
We want India to become a global hub for Artificial Intelligence: PM Modi,https://www.narendramodi.in/text-of-pm-s-address-at-the-inauguration-of-responsible-ai-for-social-empowerment-2020-summit
"In all of India's textile traditions, there is colour, vibrancy and eye for detail: PM Modi",https://www.narendramodi.in/prime-minister-narendra-modi-message-on-indian-textile-traditions-at-webinar-organised-by-iccr-and-upid
Those who are against recent agriculture reforms always worked for their own political interests: PM Modi,https://www.narendramodi.in/prime-minister-narendra-modis-address-at-public-meeting-at-solang-valley-in-himachal-pradesh
"Policies now are not made on the basis of the number of votes, but the endeavour is to ensure that no Indian is left behind: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-‘abhar-samaroh-at-sissu-in-lahaul-spiti
Atal Tunnel will strengthen India's border infrastructure: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-inauguration-of-atal-tunnel-in-rohtang-himachal-pradesh
"Those who ruled the country for decades have never cared about empowering the youth, farmers & women: PM",https://www.narendramodi.in/text-of-pm-s-address-at-inauguration-of-six-mega-projects-under-namami-gange-in-uttarakhand
Opening remarks by Prime Minister during the India - Denmark Virtual Bilateral Summit,https://www.narendramodi.in/prime-minister-narendra-modi-denmark-pm-hold-virtual-bilateral-meeting
"Agriculture sector, our farmers, our villages are the foundation of Aatmanirbhar Bharat: PM Modi during Mann Ki Baat",https://www.narendramodi.in/agriculture-sector-our-farmers-our-villages-are-the-foundation-of-aatmanirbhar-bharat-pm-modi-during-mann-ki-baat
"Reform in the responses, processes, character of the United Nations is the need of the hour: PM Modi",https://www.narendramodi.in/prime-minister-narendra-modi-addresses-the-united-nations-general-assembly
Opening remarks by Prime Minister during the India - Sri Lanka Virtual Bilateral Summit,https://www.narendramodi.in/prime-minister-narendra-modi-sri-lankan-pm-rajapaksa-hold-virtual-bilateral-meeting
Farm bills will benefit the small and marginal farmers the most: PM Modi,https://www.narendramodi.in/prime-minister-narendra-modi-s-text-of-speech-during-interaction-with-bjp-karyakartas-on-pt-deen-dayal-upadhyaya-ji-s-jayanti-
Awareness and enthusiasm about health & fitness is constantly expanding in the country: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-fit-india-dialogue-on-the-first-anniversary-of-fit-india-movement
"Country needs to not only keep fighting the virus, but also move ahead boldly on the economic front: PM",https://www.narendramodi.in/prime-minister-narendra-modi-reviews-status-and-preparedness-of-covid-response-and-management-in-7-states
NEP 2020 will establish India as a major global education destination: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-convocation-of-iit-guwahati
"Without comprehensive reforms, the UN faces a crisis of confidence: PM Modi",https://www.narendramodi.in/prime-minister-narendra-modi-s-address-to-the-united-nations-general-assembly-22-sep
"New farm bills passed are ""historic and necessary"" for the country to move forward: PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-launch-of-infrastructure-projects-in-bihar
"In the last 6 years, efforts have been made to shape Indian Railways as per the aspirations of new India: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-dedication-of-kosi-rail-mega-bridge-to-the-nation
"Cities should be such that everyone, especially our youth, get new and limitless possibilities to move forward: PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-launch-of-multiple-development-projects-in-bihar
PM's remarks on election of Shri Harivansh Narayan Singh as Deputy Chairman of Rajya Sabha,https://www.narendramodi.in/pm-modi-s-remarks-in-rajya-sabha-on-election-of-shri-harivansh-narayan-singh-as-deputy-chairman
"Important decisions will be taken during this session, various topics will be discussed: PM at the start of Monsoon Session",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-remarks-at-the-start-of-monsoon-session-of-parliament
"New India and new Bihar believes in fast-paced development, says PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-inauguration-of-three-key-projects-related-to-the-petroleum-sector-in-bihar
Awaas Yojana not only ensures home to the rural poor but also gives them confidence: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-grih-pravesham-and-inauguration-of-1-75-lakh-houses-built-under-pradhan-mantri-awaas-yojana-gramin-at-madhya-pradesh
National Education Policy will give a new direction to 21st century India: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-conclave-on-school-education-in-21st-century-under-nep-2020
Fisheries sector will benefit largely from Pradhan Mantri Matsya Sampada Yojana: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-launch-of-pradhan-mantri-matsya-sampada-yojana
PM SVANidhi scheme is aimed at helping the pandemic impacted street vendors restart their livelihood: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-interaction-with-street-vendors-from-madhya-pradesh
"Our learning process continues throughout our life, every day: PM Modi",https://www.narendramodi.in/prime-minister-narendra-modi-s-speech-at-inauguration-of-patrika-gate-in-jaipur-via-video-conferencing
"National Education Policy stresses on passion, practicality and performance: PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-inaugural-session-of-the-governors-conference-on-nep-2020
